anio;mes;id;tamano;categoria;sexo;grupo;div;ro;ho;c;ht
2020;oct;1379;3;F;2;8;2;NA;NA;NA;NA
2020;oct;1391;3;I;1;4;2;12043950;3730;17727997;3807
2020;oct;1393;3;F;2;8;2;170270473;31836;218965238;35114
2020;oct;1395;3;I;1;4;2;497017;194;761268;245
2020;oct;1841;3;F;2;8;2;291475142;58224;350864915;64882
2020;oct;1570;3;F;2;8;3;6019625;1546;6892848;1630
2020;oct;1595;3;I;1;4;2;8654172;2476;11199879;2657
2020;oct;8;3;I;1;4;1;1428727;503;1634963;503
2020;oct;231;3;I;1;4;1;2060400;581;2247072;581
2020;oct;1729;3;I;1;4;1;NA;NA;NA;NA
2020;oct;241;3;I;1;4;2;66543278;27740;69737355;27740
2020;oct;242;3;I;1;4;2;NA;NA;NA;NA
2020;oct;244;3;I;1;4;2;147153713;23215;155663106;23245
2020;oct;255;3;I;1;4;1;NA;NA;NA;NA
2020;oct;285;3;F;2;8;3;727848710;108080;815199396;110323
2020;oct;1726;3;I;1;4;1;1403283;285;1555859;287
2020;oct;1712;3;I;1;4;1;3668720;968;4149053;984
2020;oct;426;3;I;1;4;2;35401381;8686;41425570;8787
2020;oct;1731;3;I;1;4;1;8632227;970;9861152;970
2020;oct;695;3;I;1;4;2;738919;395;818651;397
2020;oct;698;3;I;1;4;2;50519820;15520;150122987;15814
2020;oct;701;3;I;1;4;1;32530;13;57226;13
2020;oct;763;3;I;1;4;2;269088993;59535;610385637;61419
2020;oct;948;3;F;2;8;1;23253456;4070;26085050;4400
2020;oct;949;3;I;1;4;2;NA;NA;NA;NA
2020;oct;950;3;I;1;4;1;8040912;2775;8491203;2775
2020;oct;951;3;I;1;4;2;NA;NA;NA;NA
2020;oct;953;3;F;2;8;1;NA;NA;NA;NA
2020;oct;954;3;I;1;4;1;3136876;839;3672423;839
2020;oct;1696;3;I;1;4;1;3100589;1213;3908006;1213
2020;oct;1029;3;I;1;4;2;NA;NA;NA;NA
2020;oct;1069;3;F;2;8;1;NA;NA;NA;NA
2020;oct;1840;3;F;2;8;1;845405;239;900976;240
2020;oct;1845;3;F;2;8;1;1118311;122;1168140;123
2020;oct;1097;3;F;2;8;1;12426827;3360;15180944;3531
2020;oct;1098;3;F;2;8;1;1053040;387;1571631;449
2020;oct;1653;3;F;2;8;3;86921523;10983;99910858;11094
2020;oct;1099;3;F;2;8;3;624964;189;777428;210
2020;oct;1654;3;F;2;8;2;604648;145;795286;157
2020;oct;1100;3;F;2;8;1;5642506;1751;6431866;1839
2020;oct;1119;3;F;2;8;3;NA;NA;NA;NA
2020;oct;1132;3;F;2;8;2;672685777;84118;948020874;88454
2020;oct;1140;3;I;1;4;1;3855504;497;4126456;500
2020;oct;1143;3;F;2;8;1;875000;386;935394;386
2020;oct;1842;3;F;2;8;3;330058;120;413455;121
2020;oct;1144;3;I;1;4;1;812399;232;996313;250
2020;oct;1147;3;I;1;4;2;NA;NA;NA;NA
2020;oct;1149;3;F;2;8;1;NA;NA;NA;NA
2020;oct;1701;3;F;2;8;3;NA;NA;NA;NA
2020;oct;1153;3;F;2;8;1;356666;103;420754;103
2020;oct;1155;3;F;2;8;2;17754399;5527;20224468;5676
2020;oct;1158;3;F;2;8;1;7848620;1543;8981645;1561
2020;oct;1159;3;F;2;8;1;2266712;752;2774248;767
2020;oct;1164;3;F;2;8;1;21689714;6437;28606996;6917
2020;oct;1165;3;F;2;8;1;554903;194;789722;194
2020;oct;1185;3;F;2;8;1;11575603;3777;12765453;3892
2020;oct;1210;3;F;2;8;3;NA;NA;NA;NA
2020;oct;1824;3;F;2;8;2;98611944;16512;111895301;16854
2020;oct;1231;3;F;2;8;1;9912284;3096;11044273;3158
2020;oct;1853;3;F;2;8;2;82183953;12350;92112788;12375
2020;oct;1826;3;F;2;8;2;84002037;14175;106027132;14719
2020;oct;1276;3;I;1;4;1;3353475;1161;3532886;1161
2020;oct;1279;3;I;1;4;2;161883860;34449;181810065;35200
2020;oct;1281;3;F;2;8;3;412821556;71100;550975937;71100
2020;oct;1289;3;I;1;4;2;NA;NA;NA;NA
2020;oct;1891;3;I;1;4;2;66598531;18396;78801157;18489
2020;oct;1314;3;F;2;8;1;10431235;1722;11820713;1816
2020;oct;1318;3;I;1;4;2;97010201;18744;104221860;18776
2020;oct;1323;3;F;2;8;2;7252295;2115;9296894;2230
2020;oct;1326;3;F;2;8;1;9940470;2259;11489738;2420
2020;oct;1327;3;F;2;8;1;51382350;13728;58859769;14087
2020;oct;1329;3;F;2;8;1;24235612;6566;27333500;6623
2020;oct;1343;3;I;1;4;1;4618432;620;5712514;620
2020;oct;1349;3;F;2;8;3;34584807;10201;38554558;10201
2020;oct;1354;3;F;2;8;1;725065;194;840373;194
2020;oct;1868;3;F;2;8;1;1111375;371;1252659;371
2020;oct;1380;3;F;2;8;1;71671147;12099;81938056;12452
2020;oct;1381;3;F;2;8;1;2135960;387;2359384;387
2020;oct;1386;3;I;1;4;1;10620448;3776;12810484;3824
2020;oct;1389;3;F;2;8;3;70859593;12008;75258548;12050
2020;oct;1759;3;I;1;4;1;16037430;5141;17461255;5141
2020;oct;1409;3;F;2;8;1;1335911;387;1807160;427
2020;oct;1410;3;F;2;8;1;2182110;828;2489671;829
2020;oct;1411;3;F;2;8;2;29958355;7918;35430474;8138
2020;oct;1896;3;F;2;8;2;25139172;4173;31355258;4360
2020;oct;1422;3;F;2;8;1;NA;NA;NA;NA
2020;oct;1425;3;F;2;8;1;NA;NA;NA;NA
2020;oct;1426;3;F;2;8;1;NA;NA;NA;NA
2020;oct;1431;3;I;1;4;2;NA;NA;NA;NA
2020;oct;1454;3;F;2;8;1;22490174;5044;24541739;5044
2020;oct;1695;3;F;2;8;2;14836458;4886;18334491;4970
2020;oct;1520;3;F;2;8;3;148588003;19987;170776642;20135
2020;oct;1532;3;I;1;4;2;25872190;9213;27734035;9453
2020;oct;1538;3;F;2;8;1;7763006;1548;8786096;1603
2020;oct;1579;3;F;2;8;1;807049;213;981298;213
2020;oct;1580;3;F;2;8;2;35851233;5464;43235824;6001
2020;oct;1581;3;F;2;8;1;NA;NA;NA;NA
2020;oct;1582;3;F;2;8;1;11610440;2754;13078645;2778
2020;oct;1590;3;F;2;8;3;12754404;3210;17365896;3861
2020;oct;1593;3;F;2;8;1;NA;NA;NA;NA
2020;oct;1597;3;F;2;8;1;NA;NA;NA;NA
2020;oct;1601;3;F;2;8;3;144433112;24446;209025908;24446
2020;oct;1604;3;F;2;8;1;NA;NA;NA;NA
2020;oct;1607;3;F;2;8;1;22304265;5553;25954003;5652
2020;oct;1608;3;F;2;8;1;3557229;1067;3812741;1083
2020;oct;1609;3;F;2;8;1;773865;194;895385;194
2020;oct;1610;3;F;2;8;2;NA;NA;NA;NA
2020;oct;1710;3;F;2;8;2;16938935;5198;24449248;5412
2020;oct;1622;3;F;2;8;3;84422418;11892;89739609;12292
2020;oct;1624;3;F;2;8;3;3357531;817;4342512;905
2020;oct;1628;3;F;2;8;1;NA;NA;NA;NA
2020;oct;1629;3;F;2;8;1;821936;231;969445;231
2020;oct;1639;3;F;2;8;1;NA;NA;NA;NA
2020;oct;9;3;F;2;8;1;151846418;29676;167160145;29676
2020;oct;24;3;F;2;8;2;13825650;2841;17896198;2994
2020;oct;25;3;F;2;8;1;35211250;5018;37802794;5018
2020;oct;60;3;F;2;8;3;NA;NA;NA;NA
2020;oct;62;3;I;1;4;2;NA;NA;NA;NA
2020;oct;64;3;F;2;8;2;9182540;3104;10550840;3104
2020;oct;70;3;I;1;4;1;NA;NA;NA;NA
2020;oct;72;3;I;1;4;2;1286637;388;1693228;388
2020;oct;76;3;F;2;8;2;NA;NA;NA;NA
2020;oct;134;3;F;2;8;1;172345;78;185411;78
2020;oct;1884;3;F;2;8;2;148989670;22094;162309685;22095
2020;oct;184;3;I;1;4;1;3799024;1548;4125982;1548
2020;oct;185;3;F;2;8;1;946508;387;985409;387
2020;oct;187;3;F;2;8;1;4042546;1425;4932707;1433
2020;oct;198;3;F;2;8;2;12937154;3438;15226151;3632
2020;oct;221;3;F;2;8;1;NA;NA;NA;NA
2020;oct;224;3;F;2;8;1;3047016;897;3396403;897
2020;oct;232;3;I;1;4;2;4753061;1410;5402944;1410
2020;oct;237;3;I;1;4;2;22297176;5625;25207547;5625
2020;oct;253;3;F;2;8;1;1261157;194;1425115;194
2020;oct;256;3;F;2;8;1;NA;NA;NA;NA
2020;oct;259;3;I;1;4;2;1010708;159;1278595;159
2020;oct;260;3;I;1;4;2;12449721;3483;14773932;3578
2020;oct;264;3;I;1;4;2;NA;NA;NA;NA
2020;oct;1717;3;I;1;4;1;NA;NA;NA;NA
2020;oct;307;3;F;2;8;1;2437322;387;2687927;387
2020;oct;313;3;I;1;4;2;6853992;1940;7789331;2025
2020;oct;325;3;I;1;4;1;NA;NA;NA;NA
2020;oct;332;3;F;2;8;3;31151130;9577;41936141;9756
2020;oct;360;3;I;1;4;2;171023972;30368;189346259;30612
2020;oct;393;3;F;2;8;1;NA;NA;NA;NA
2020;oct;401;3;F;2;8;3;NA;NA;NA;NA
2020;oct;403;3;F;2;8;3;NA;NA;NA;NA
2020;oct;405;3;F;2;8;1;NA;NA;NA;NA
2020;oct;1786;3;F;2;8;1;NA;NA;NA;NA
2020;oct;422;3;F;2;8;1;NA;NA;NA;NA
2020;oct;423;3;F;2;8;1;NA;NA;NA;NA
2020;oct;424;3;F;2;8;1;911939;230;961268;231
2020;oct;425;3;F;2;8;3;160514185;34411;195598373;34836
2020;oct;427;3;F;2;8;1;NA;NA;NA;NA
2020;oct;433;3;I;1;4;2;3645734;484;4227089;484
2020;oct;446;3;F;2;8;3;1072946;354;1332876;358
2020;oct;460;3;F;2;8;1;NA;NA;NA;NA
2020;oct;462;3;F;2;8;1;1420472;388;1676692;403
2020;oct;463;3;F;2;8;2;34143011;5276;44917915;5597
2020;oct;464;3;F;2;8;1;NA;NA;NA;NA
2020;oct;466;3;F;2;8;1;NA;NA;NA;NA
2020;oct;467;3;F;2;8;3;77414745;17540;94309323;18129
2020;oct;468;3;F;2;8;1;NA;NA;NA;NA
2020;oct;471;3;F;2;8;1;NA;NA;NA;NA
2020;oct;473;3;F;2;8;1;832794;361;849367;361
2020;oct;474;3;F;2;8;1;165483;23;231164;24
2020;oct;475;3;F;2;8;2;NA;NA;NA;NA
2020;oct;476;3;F;2;8;2;NA;NA;NA;NA
2020;oct;478;3;F;2;8;2;2327085;194;2586198;194
2020;oct;479;3;F;2;8;1;NA;NA;NA;NA
2020;oct;481;3;F;2;8;3;NA;NA;NA;NA
2020;oct;482;3;F;2;8;3;62956705;13870;70810563;14163
2020;oct;505;3;I;1;4;2;NA;NA;NA;NA
2020;oct;1787;3;F;2;8;1;NA;NA;NA;NA
2020;oct;544;3;F;2;8;1;NA;NA;NA;NA
2020;oct;546;3;F;2;8;1;NA;NA;NA;NA
2020;oct;1728;3;I;1;4;1;NA;NA;NA;NA
2020;oct;549;3;F;2;8;1;865968;260;986645;297
2020;oct;1808;3;F;2;8;3;NA;NA;NA;NA
2020;oct;552;3;F;2;8;1;NA;NA;NA;NA
2020;oct;558;3;I;1;4;2;1463803;684;1736108;684
2020;oct;561;3;F;2;8;3;162625609;26320;200629174;27124
2020;oct;562;3;F;2;8;3;NA;NA;NA;NA
2020;oct;567;3;F;2;8;1;NA;NA;NA;NA
2020;oct;570;3;I;1;4;2;NA;NA;NA;NA
2020;oct;572;3;F;2;8;1;1780065;581;1936418;591
2020;oct;573;3;F;2;8;2;88011361;23639;102876559;24603
2020;oct;1848;3;F;2;8;1;NA;NA;NA;NA
2020;oct;1851;3;F;2;8;1;NA;NA;NA;NA
2020;oct;1870;3;I;1;4;2;1741256;382;1820922;382
2020;oct;583;3;F;2;8;2;85087292;17712;117016675;17718
2020;oct;586;3;F;2;8;2;6606396;641;6952754;648
2020;oct;589;3;F;2;8;2;8458987;1426;9105171;1426
2020;oct;592;3;F;2;8;2;76851284;17357;92729309;17451
2020;oct;617;3;F;2;8;1;199380;42;209855;45
2020;oct;629;3;I;1;4;1;6451331;2522;7168956;2522
2020;oct;634;3;F;2;8;1;NA;NA;NA;NA
2020;oct;639;3;F;2;8;1;1035661;194;1112494;194
2020;oct;641;3;F;2;8;2;43199663;9382;58105933;10529
2020;oct;684;3;F;2;8;1;1647674;581;2121406;581
2020;oct;1814;3;F;2;8;2;16550331;4064;17662513;4064
2020;oct;693;3;F;2;8;3;143892998;39359;184314097;42066
2020;oct;697;3;F;2;8;3;196224790;34553;343106357;41721
2020;oct;1730;3;I;1;4;1;NA;NA;NA;NA
2020;oct;708;3;F;2;8;3;1528369;387;2396843;452
2020;oct;710;3;F;2;8;1;NA;NA;NA;NA
2020;oct;723;3;F;2;8;1;10373842;2996;12178384;3214
2020;oct;735;3;F;2;8;1;NA;NA;NA;NA
2020;oct;1689;3;F;2;8;1;NA;NA;NA;NA
2020;oct;1757;3;I;1;4;2;2218678;581;2550153;592
2020;oct;1894;3;F;2;8;3;NA;NA;NA;NA
2020;oct;1827;3;F;2;8;3;389481350;65684;521331485;65753
2020;oct;1822;3;F;2;8;3;283723773;46163;303933012;46219
2020;oct;1877;3;F;2;8;3;46090160;7863;53394944;8919
2020;oct;469;3;F;2;8;1;14366053;4179;17154178;4389
2020;oct;327;3;I;1;4;2;18465158;5999;24120071;6214
2020;oct;1020;3;I;1;4;1;6355981;1716;8432098;1765
2020;oct;1703;3;I;1;4;2;610271;194;806856;213
2020;oct;450;3;I;1;4;2;7119881;1862;7846016;1891
2020;oct;300;3;I;1;4;2;NA;NA;NA;NA
2020;oct;1583;3;F;2;8;3;NA;NA;NA;NA
2020;oct;1379;3;F;1;2;2;7410077;774;8283012;774
2020;oct;1379;3;F;1;3;2;751060;194;904668;194
2020;oct;1379;3;F;1;4;2;4551475;968;5355032;968
2020;oct;1379;3;F;1;7;2;NA;NA;NA;NA
2020;oct;1379;3;F;1;9;2;NA;NA;NA;NA
2020;oct;1379;3;F;2;1;2;17052866;387;17577346;387
2020;oct;1379;3;F;2;2;2;66467966;6011;74176828;6128
2020;oct;1379;3;F;2;3;2;9914602;1458;11358857;1458
2020;oct;1379;3;F;2;4;2;NA;NA;NA;NA
2020;oct;1379;3;F;2;7;2;11269611;1967;13961957;2091
2020;oct;1379;3;F;2;9;2;NA;NA;NA;NA
2020;oct;1391;3;I;1;3;2;37732365;6342;46326465;6440
2020;oct;1391;3;I;2;2;2;53530858;5611;60007770;5612
2020;oct;1391;3;I;2;5;2;1962691;194;2197633;194
2020;oct;1393;3;F;1;2;2;117192972;11947;131696501;12222
2020;oct;1393;3;F;1;3;2;25938293;4670;30258169;4839
2020;oct;1393;3;F;1;4;2;30502225;5893;36210374;6061
2020;oct;1393;3;F;1;7;2;754141;193;1024340;231
2020;oct;1393;3;F;1;9;2;7833860;3101;9662090;3193
2020;oct;1393;3;F;2;1;2;141780259;3474;144706517;3474
2020;oct;1393;3;F;2;2;2;537734819;41714;591063407;42396
2020;oct;1393;3;F;2;3;2;302435940;35698;360701758;37868
2020;oct;1393;3;F;2;4;2;58106151;11611;70391313;12229
2020;oct;1393;3;F;2;7;2;897204936;187094;1099776088;198664
2020;oct;1393;3;F;2;9;2;121908491;32835;145544913;34314
2020;oct;1395;3;I;1;3;2;1562999;387;1728504;387
2020;oct;1395;3;I;2;2;2;6416317;1234;7005074;1234
2020;oct;1395;3;I;2;5;2;1009211;292;1113626;292
2020;oct;1841;3;F;1;2;2;73046417;10158;79549875;10158
2020;oct;1841;3;F;1;3;2;41774554;4824;46132849;4904
2020;oct;1841;3;F;1;4;2;42578370;10107;51602140;10718
2020;oct;1841;3;F;1;7;2;NA;NA;NA;NA
2020;oct;1841;3;F;1;9;2;15388978;5805;17821464;6114
2020;oct;1841;3;F;2;1;2;147797548;4450;154570943;4450
2020;oct;1841;3;F;2;2;2;351645136;32501;381012736;32541
2020;oct;1841;3;F;2;3;2;470447137;61894;523526974;63797
2020;oct;1841;3;F;2;4;2;38383913;8630;47768167;9444
2020;oct;1841;3;F;2;7;2;NA;NA;NA;NA
2020;oct;1841;3;F;2;9;2;420229062;125484;494716106;137267
2020;oct;1570;3;F;1;2;3;1009160;194;1259369;206
2020;oct;1570;3;F;1;3;3;7514468;2102;8583464;2112
2020;oct;1570;3;F;1;4;3;NA;NA;NA;NA
2020;oct;1570;3;F;1;7;3;1042346;388;1168410;388
2020;oct;1570;3;F;1;9;3;NA;NA;NA;NA
2020;oct;1570;3;F;2;1;3;5825716;388;6009970;388
2020;oct;1570;3;F;2;2;3;11862766;1552;13294405;1568
2020;oct;1570;3;F;2;3;3;7723478;1714;8538423;1723
2020;oct;1570;3;F;2;4;3;NA;NA;NA;NA
2020;oct;1570;3;F;2;7;3;94996970;27069;105707543;27823
2020;oct;1570;3;F;2;9;3;NA;NA;NA;NA
2020;oct;1595;3;I;1;3;2;5608549;1316;6638743;1355
2020;oct;1595;3;I;2;2;2;5904118;581;6430704;581
2020;oct;1595;3;I;2;5;2;4336211;1363;6218304;1551
2020;oct;8;3;I;1;3;1;86975;38;92354;38
2020;oct;8;3;I;2;2;1;4673375;555;5057375;555
2020;oct;8;3;I;2;5;1;265455;122;289345;124
2020;oct;231;3;I;1;3;1;6069399;1161;6654260;1161
2020;oct;231;3;I;2;2;1;27257729;2709;29476852;2709
2020;oct;231;3;I;2;5;1;3732454;1296;4072496;1296
2020;oct;1729;3;I;1;3;1;NA;NA;NA;NA
2020;oct;1729;3;I;2;2;1;NA;NA;NA;NA
2020;oct;1729;3;I;2;5;1;NA;NA;NA;NA
2020;oct;241;3;I;1;3;2;34124567;13870;35762546;13870
2020;oct;241;3;I;2;2;2;58678900;4370;61495487;4370
2020;oct;241;3;I;2;5;2;343800000;183360;370616400;188860
2020;oct;242;3;I;1;3;2;NA;NA;NA;NA
2020;oct;242;3;I;2;2;2;NA;NA;NA;NA
2020;oct;242;3;I;2;5;2;NA;NA;NA;NA
2020;oct;244;3;I;1;3;2;89769746;9551;94883464;9551
2020;oct;244;3;I;2;2;2;248293238;18036;259583568;18036
2020;oct;244;3;I;2;5;2;301070802;71702;321762408;71819
2020;oct;255;3;I;1;3;1;NA;NA;NA;NA
2020;oct;255;3;I;2;2;1;NA;NA;NA;NA
2020;oct;255;3;I;2;5;1;NA;NA;NA;NA
2020;oct;285;3;F;1;2;3;15798845;1342;17452784;1354
2020;oct;285;3;F;1;3;3;25414401;2964;28404885;2997
2020;oct;285;3;F;1;4;3;5199040;1129;6212494;1141
2020;oct;285;3;F;1;7;3;1667965;387;1927803;387
2020;oct;285;3;F;1;9;3;1490280;387;1638799;387
2020;oct;285;3;F;2;1;3;91132487;2516;103503120;2516
2020;oct;285;3;F;2;2;3;132191306;11287;146501217;11471
2020;oct;285;3;F;2;3;3;234655289;27516;258761347;28196
2020;oct;285;3;F;2;4;3;15752081;3037;17482794;3079
2020;oct;285;3;F;2;7;3;194585253;37228;215774126;38410
2020;oct;285;3;F;2;9;3;NA;NA;NA;NA
2020;oct;1726;3;I;1;3;1;680036;143;688536;143
2020;oct;1726;3;I;2;2;1;NA;NA;NA;NA
2020;oct;1726;3;I;2;5;1;NA;NA;NA;NA
2020;oct;1712;3;I;1;3;1;NA;NA;NA;NA
2020;oct;1712;3;I;2;2;1;2556730;387;2869395;387
2020;oct;1712;3;I;2;5;1;14400865;4205;16619153;4272
2020;oct;426;3;I;1;3;2;NA;NA;NA;NA
2020;oct;426;3;I;2;2;2;NA;NA;NA;NA
2020;oct;426;3;I;2;5;2;2012200;776;2110059;776
2020;oct;1731;3;I;1;3;1;1434686;388;1570970;388
2020;oct;1731;3;I;2;2;1;8697514;562;9258288;562
2020;oct;1731;3;I;2;5;1;15435006;4074;17182666;4095
2020;oct;695;3;I;1;3;2;NA;NA;NA;NA
2020;oct;695;3;I;2;2;2;765509;124;874382;125
2020;oct;695;3;I;2;5;2;8661021;2702;9923764;2702
2020;oct;698;3;I;1;3;2;6232886;1638;17010777;1831
2020;oct;698;3;I;2;2;2;66697980;9343;119710184;9399
2020;oct;698;3;I;2;5;2;60591973;14425;142629738;15025
2020;oct;701;3;I;1;3;1;2123727;452;2282661;452
2020;oct;701;3;I;2;2;1;8371669;1161;8805075;1161
2020;oct;701;3;I;2;5;1;836110;401;841523;401
2020;oct;763;3;I;1;3;2;51744118;9808;107642920;10231
2020;oct;763;3;I;2;2;2;580222138;60079;878446161;60951
2020;oct;763;3;I;2;5;2;1092529875;234573;2211461188;241319
2020;oct;948;3;F;1;2;1;1736692;192;1865949;195
2020;oct;948;3;F;1;3;1;NA;NA;NA;NA
2020;oct;948;3;F;1;4;1;1128490;387;1468205;387
2020;oct;948;3;F;1;7;1;NA;NA;NA;NA
2020;oct;948;3;F;1;9;1;3361904;1290;3604745;1290
2020;oct;948;3;F;2;1;1;7482979;194;7919574;194
2020;oct;948;3;F;2;2;1;27196031;3689;32343363;3722
2020;oct;948;3;F;2;3;1;687651;194;728910;194
2020;oct;948;3;F;2;4;1;NA;NA;NA;NA
2020;oct;948;3;F;2;7;1;45100689;12587;51022982;12597
2020;oct;948;3;F;2;9;1;31041201;11075;34029187;11277
2020;oct;949;3;I;1;3;2;NA;NA;NA;NA
2020;oct;949;3;I;2;2;2;NA;NA;NA;NA
2020;oct;949;3;I;2;5;2;NA;NA;NA;NA
2020;oct;950;3;I;1;3;1;6078275;1080;6418658;1080
2020;oct;950;3;I;2;2;1;NA;NA;NA;NA
2020;oct;950;3;I;2;5;1;15147891;3517;15932937;3541
2020;oct;951;3;I;1;3;2;5727343;2129;6418525;2129
2020;oct;951;3;I;2;2;2;14013649;2516;15164737;2516
2020;oct;951;3;I;2;5;2;15417828;6966;17433683;6966
2020;oct;953;3;F;1;2;1;NA;NA;NA;NA
2020;oct;953;3;F;1;3;1;NA;NA;NA;NA
2020;oct;953;3;F;1;4;1;NA;NA;NA;NA
2020;oct;953;3;F;1;7;1;NA;NA;NA;NA
2020;oct;953;3;F;1;9;1;NA;NA;NA;NA
2020;oct;953;3;F;2;1;1;NA;NA;NA;NA
2020;oct;953;3;F;2;2;1;5926865;194;6358884;194
2020;oct;953;3;F;2;3;1;NA;NA;NA;NA
2020;oct;953;3;F;2;4;1;3559730;387;3862356;387
2020;oct;953;3;F;2;7;1;107599281;25271;123134029;25271
2020;oct;953;3;F;2;9;1;NA;NA;NA;NA
2020;oct;954;3;I;1;3;1;NA;NA;NA;NA
2020;oct;954;3;I;2;2;1;5154469;439;5677825;439
2020;oct;954;3;I;2;5;1;7955201;2328;9439565;2328
2020;oct;1696;3;I;1;3;1;443806;194;471411;194
2020;oct;1696;3;I;2;2;1;8999700;1264;10271221;1264
2020;oct;1696;3;I;2;5;1;2613614;1355;2959921;1355
2020;oct;1029;3;I;1;3;2;NA;NA;NA;NA
2020;oct;1029;3;I;2;2;2;NA;NA;NA;NA
2020;oct;1029;3;I;2;5;2;15365886;5635;18063480;5959
2020;oct;1069;3;F;1;2;1;8601625;954;9396657;954
2020;oct;1069;3;F;1;3;1;2245896;563;2487791;563
2020;oct;1069;3;F;1;4;1;2608865;864;3008231;864
2020;oct;1069;3;F;1;7;1;372791;147;439896;147
2020;oct;1069;3;F;1;9;1;2433188;1046;2945588;1061
2020;oct;1069;3;F;2;1;1;4400000;384;4558400;384
2020;oct;1069;3;F;2;2;1;26121843;2739;29016754;2749
2020;oct;1069;3;F;2;3;1;8206888;1322;9348134;1331
2020;oct;1069;3;F;2;4;1;6945968;1664;7946226;1679
2020;oct;1069;3;F;2;7;1;44529011;12822;51428959;12940
2020;oct;1069;3;F;2;9;1;18842987;8291;22556965;8363
2020;oct;1840;3;F;1;2;1;3254484;600;3514311;601
2020;oct;1840;3;F;1;3;1;2852047;542;3054747;545
2020;oct;1840;3;F;1;4;1;1781789;250;1872603;251
2020;oct;1840;3;F;1;7;1;1122693;382;1170679;382
2020;oct;1840;3;F;1;9;1;1233182;466;1309102;467
2020;oct;1840;3;F;2;1;1;17936376;596;18961659;598
2020;oct;1840;3;F;2;2;1;9133799;694;9627384;696
2020;oct;1840;3;F;2;3;1;16566797;2406;17553781;2412
2020;oct;1840;3;F;2;4;1;1565311;313;1669547;313
2020;oct;1840;3;F;2;7;1;29160605;7735;30996766;7741
2020;oct;1840;3;F;2;9;1;1505684;457;1618441;459
2020;oct;1845;3;F;1;2;1;14037270;968;15710278;968
2020;oct;1845;3;F;1;3;1;1705645;194;1903653;194
2020;oct;1845;3;F;1;4;1;112704;39;129233;39
2020;oct;1845;3;F;1;7;1;671882;106;767156;106
2020;oct;1845;3;F;1;9;1;417245;194;471800;194
2020;oct;1845;3;F;2;1;1;10525897;176;11087566;178
2020;oct;1845;3;F;2;2;1;44983218;1864;47778215;1864
2020;oct;1845;3;F;2;3;1;726459;123;772359;123
2020;oct;1845;3;F;2;4;1;1501609;194;1646917;194
2020;oct;1845;3;F;2;7;1;132814;44;172486;44
2020;oct;1845;3;F;2;9;1;506461;139;612456;139
2020;oct;1097;3;F;1;2;1;49036850;5579;59362842;5579
2020;oct;1097;3;F;1;3;1;8235892;2032;9760866;2046
2020;oct;1097;3;F;1;4;1;1227802;387;1361470;387
2020;oct;1097;3;F;1;7;1;1838783;483;2180143;483
2020;oct;1097;3;F;1;9;1;6055340;2025;7001114;2052
2020;oct;1097;3;F;2;1;1;20908178;1170;26579937;1173
2020;oct;1097;3;F;2;2;1;131153246;11990;161357382;11990
2020;oct;1097;3;F;2;3;1;41197275;7594;50176015;7649
2020;oct;1097;3;F;2;4;1;13446381;2676;16230766;2690
2020;oct;1097;3;F;2;7;1;84152874;21730;101454978;22539
2020;oct;1097;3;F;2;9;1;45115068;13790;52324203;14706
2020;oct;1098;3;F;1;2;1;NA;NA;NA;NA
2020;oct;1098;3;F;1;3;1;1427324;361;1706571;361
2020;oct;1098;3;F;1;4;1;NA;NA;NA;NA
2020;oct;1098;3;F;1;7;1;NA;NA;NA;NA
2020;oct;1098;3;F;1;9;1;1907625;858;2365834;858
2020;oct;1098;3;F;2;1;1;7421730;387;7733810;387
2020;oct;1098;3;F;2;2;1;9134660;774;10649319;774
2020;oct;1098;3;F;2;3;1;4167987;851;5563227;851
2020;oct;1098;3;F;2;4;1;507500;194;629295;194
2020;oct;1098;3;F;2;7;1;17206129;7540;21375710;7543
2020;oct;1098;3;F;2;9;1;NA;NA;NA;NA
2020;oct;1653;3;F;1;2;3;1111577;81;1254787;81
2020;oct;1653;3;F;1;3;3;2368803;202;2722266;204
2020;oct;1653;3;F;1;4;3;1637465;287;2154533;288
2020;oct;1653;3;F;1;7;3;NA;NA;NA;NA
2020;oct;1653;3;F;1;9;3;664907;161;812961;165
2020;oct;1653;3;F;2;1;3;41026135;562;42098762;562
2020;oct;1653;3;F;2;2;3;18403635;1157;19922742;1158
2020;oct;1653;3;F;2;3;3;31340425;1937;34047918;1942
2020;oct;1653;3;F;2;4;3;3668131;738;4458398;739
2020;oct;1653;3;F;2;7;3;35964367;5347;40296991;5381
2020;oct;1653;3;F;2;9;3;9334790;2449;11860112;2505
2020;oct;1099;3;F;1;2;3;2447538;189;2815497;189
2020;oct;1099;3;F;1;3;3;1445935;305;1747127;315
2020;oct;1099;3;F;1;4;3;NA;NA;NA;NA
2020;oct;1099;3;F;1;7;3;NA;NA;NA;NA
2020;oct;1099;3;F;1;9;3;311828;84;321089;84
2020;oct;1099;3;F;2;1;3;4325794;189;4325794;189
2020;oct;1099;3;F;2;2;3;18808126;1701;21332936;1701
2020;oct;1099;3;F;2;3;3;480576;117;549297;117
2020;oct;1099;3;F;2;4;3;595625;189;683933;189
2020;oct;1099;3;F;2;7;3;NA;NA;NA;NA
2020;oct;1099;3;F;2;9;3;1953544;540;2365717;608
