Ano;Mes;ID_Empresa;Tamano;Categoria;Sexo;Grupo;Division;  RO_t_1  ;  HO_t_1  ;  C_t_1  ;  HT_t_1  ;  RO  ;  HO  ;  C  ;  HT  
2021;6;1;3;O;1;1;1;25764234;1324;26182043;1324;25764234;1324;26183171;1324
2021;6;1;3;O;1;2;1;185277355;16460;193083921;16604;182990336;16460;189187663;16609
2021;6;1;3;O;1;3;1;29001305;4541;30780455;4622;28246431;4541;29528905;4633
2021;6;1;3;O;1;4;1;80873889;16839;85546589;16994;80800533;16839;84110823;17111
2021;6;1;3;O;1;5;1;;;;;;;;
2021;6;1;3;O;1;6;1;;;;;;;;
2021;6;1;3;O;1;7;1;12562060;3406;13516481;3492;12551664;3406;13702443;3596
2021;6;1;3;O;1;8;1;;;;;;;;
2021;6;1;3;O;1;9;1;;;;;;;;
2021;6;1;3;O;2;1;1;66240846;3216;67864376;3246;66265202;3216;67666954;3230
2021;6;1;3;O;2;2;1;156012721;14568;164454296;14933;154566105;14001;164787393;14673
2021;6;1;3;O;2;3;1;45499100;7000;51090138;7598;45020007;6811;50577493;7577
2021;6;1;3;O;2;4;1;69944465;15893;80424732;18106;69947046;15325;78803165;17496
2021;6;1;3;O;2;5;1;;;;;;;;
2021;6;1;3;O;2;6;1;;;;;;;;
2021;6;1;3;O;2;7;1;80016536;19866;91389251;22161;79910267;19488;92698399;22702
2021;6;1;3;O;2;8;1;27790557;6244;32365243;7173;27797226;6054;33342970;7349
2021;6;1;3;O;2;9;1;;;;;;;;
2021;6;2;3;G;1;1;2;;;;;;;;
2021;6;2;3;G;1;2;2;4593558;581;5165821;581;5548425;581;6257236;581
2021;6;2;3;G;1;3;2;13650779;3290;16394200;3316;14453766;3483;17352114;3509
2021;6;2;3;G;1;4;2;3497697;1355;4477724;1355;3649236;1355;4708306;1355
2021;6;2;3;G;1;5;2;;;;;;;;
2021;6;2;3;G;1;6;2;;;;;;;;
2021;6;2;3;G;1;7;2;19488102;8159;26947225;8363;21335135;8933;29329212;9137
2021;6;2;3;G;1;8;2;;;;;;;;
2021;6;2;3;G;1;9;2;1816993;774;2847757;912;1697520;675;2713458;792
2021;6;2;3;G;2;1;2;11845737;968;12428547;968;11845737;968;12428547;968
2021;6;2;3;G;2;2;2;3213009;581;3717349;581;3311170;581;3893931;581
2021;6;2;3;G;2;3;2;1866206;387;2198863;387;2122880;387;2540031;387
2021;6;2;3;G;2;4;2;1083890;387;1295217;387;1134480;387;1385600;387
2021;6;2;3;G;2;5;2;;;;;;;;
2021;6;2;3;G;2;6;2;;;;;;;;
2021;6;2;3;G;2;7;2;35994468;13377;47386215;13575;37041977;13764;48889830;14018
2021;6;2;3;G;2;8;2;3324808;774;4487884;806;3784840;774;5023499;817
2021;6;2;3;G;2;9;2;3198988;1355;4562815;1462;3244010;1355;5526831;1799
2021;6;3;3;C;1;1;13;;;;;;;;
2021;6;3;3;C;1;2;13;5509729;1080;6146724;1080;5573182;1093;6223489;1093
2021;6;3;3;C;1;3;13;3268624;720;3750195;730;3278299;720;3825282;735
2021;6;3;3;C;1;4;13;3403252;900;3791827;900;3345385;876;3763088;877
2021;6;3;3;C;1;5;13;;;;;;;;
2021;6;3;3;C;1;6;13;;;;;;;;
2021;6;3;3;C;1;7;13;447781;180;514037;180;447890;180;520553;180
2021;6;3;3;C;1;8;13;;;;;;;;
2021;6;3;3;C;1;9;13;1204364;360;1394618;360;1204473;360;1412859;360
2021;6;3;3;C;2;1;13;19494083;508;20646266;508;19448497;510;20646228;510
2021;6;3;3;C;2;2;13;35060888;4268;39865619;4298;34597179;3960;40211731;4012
2021;6;3;3;C;2;3;13;37729890;7566;43277662;7669;37809052;6840;44953664;7068
2021;6;3;3;C;2;4;13;7756436;2325;9178287;2356;7411451;2233;8892058;2274
2021;6;3;3;C;2;5;13;1083669;388;1228969;388;1083669;360;1243369;360
2021;6;3;3;C;2;6;13;21468664;1940;24039891;1940;23209072;1955;25929944;1955
2021;6;3;3;C;2;7;13;30475824;9900;36563886;10106;29446319;9000;36107249;9273
2021;6;3;3;C;2;8;13;31113976;9720;36850050;9902;29300768;8640;35843647;8838
2021;6;3;3;C;2;9;13;89860564;23023;110405634;23353;83076983;24300;100191216;24637
2021;6;4;3;P;1;1;1;77695925;5298;80371472;5298;81649682;5487;84442895;5487
2021;6;4;3;P;1;2;1;505429769;60436;531313620;60714;509430665;61120;534997681;61262
2021;6;4;3;P;1;3;1;43278988;9228;46423367;9293;43385538;9228;46173012;9252
2021;6;4;3;P;1;4;1;108844215;26677;117384530;26903;109177073;26677;116330124;26677
2021;6;4;3;P;1;5;1;;;;;;;;
2021;6;4;3;P;1;6;1;;;;;;;;
2021;6;4;3;P;1;7;1;;;;;;;;
2021;6;4;3;P;1;8;1;;;;;;;;
2021;6;4;3;P;1;9;1;16641957;6054;18238180;6102;18287208;6433;20139554;6485
2021;6;4;3;P;2;1;1;88004960;6244;91050847;6244;88580218;6054;91653676;6054
2021;6;4;3;P;2;2;1;533138040;57792;557603049;58005;537737639;57809;562744796;58042
2021;6;4;3;P;2;3;1;40152161;8703;42979375;8720;40124808;8703;42545211;8703
2021;6;4;3;P;2;4;1;17806089;3973;18925490;3973;17901870;3973;19133600;3993
2021;6;4;3;P;2;5;1;;;;;;;;
2021;6;4;3;P;2;6;1;;;;;;;;
2021;6;4;3;P;2;7;1;3447495;946;3683712;946;3467919;946;3704723;946
2021;6;4;3;P;2;8;1;3990136;946;4335997;948;3977195;946;4305709;946
2021;6;4;3;P;2;9;1;75800053;18731;86419832;19514;76091059;18542;87377610;19420
2021;6;5;3;O;1;1;1;8885698;567;9278469;567;9309793;567;9785793;567
2021;6;5;3;O;1;2;1;276743134;30272;294852660;30272;282702482;29893;311238962;29893
2021;6;5;3;O;1;3;1;55060045;9649;59402014;9649;56245619;9649;63399535;9649
2021;6;5;3;O;1;4;1;31686974;7000;34255349;7000;34436974;7000;38699878;7000
2021;6;5;3;O;1;5;1;;;;;;;;
2021;6;5;3;O;1;6;1;;;;;;;;
2021;6;5;3;O;1;7;1;;;;;;;;
2021;6;5;3;O;1;8;1;1704786;567;1811239;567;1704786;567;1853534;567
2021;6;5;3;O;1;9;1;;;;;;;;
2021;6;5;3;O;2;1;1;37774309;1892;39491307;1892;42841471;1892;45367716;1892
2021;6;5;3;O;2;2;1;276861232;27244;295416235;27244;276870620;27244;301019184;27244
2021;6;5;3;O;2;3;1;15389485;2648;16630276;2648;15389485;2648;17235386;2648
2021;6;5;3;O;2;4;1;18379828;4351;20788707;4351;18379828;4351;21737664;4351
2021;6;5;3;O;2;5;1;;;;;;;;
2021;6;5;3;O;2;6;1;;;;;;;;
2021;6;5;3;O;2;7;1;;;;;;;;
2021;6;5;3;O;2;8;1;3700242;1135;4134463;1135;3700242;1135;4450219;1135
2021;6;5;3;O;2;9;1;;;;;;;;
2021;6;6;3;P;1;1;1;84719417;7069;88521243;7069;82609177;6780;86488999;6780
2021;6;6;3;P;1;2;1;433752273;50040;456583723;50040;425147379;50427;447971835;50427
2021;6;6;3;P;1;3;1;202474590;47001;213710413;47078;201472542;49603;212841014;49690
2021;6;6;3;P;1;4;1;184297940;49442;195796543;49581;202693175;51649;214720743;51718
2021;6;6;3;P;1;5;1;;;;;;;;
2021;6;6;3;P;1;6;1;;;;;;;;
2021;6;6;3;P;1;7;1;;;;;;;;
2021;6;6;3;P;1;8;1;;;;;;;;
2021;6;6;3;P;1;9;1;;;;;;;;
2021;6;6;3;P;2;1;1;75556323;6263;78869998;6263;76042771;6386;79355262;6386
2021;6;6;3;P;2;2;1;388043858;41966;408481524;41966;380669263;42047;400291048;42047
2021;6;6;3;P;2;3;1;130235950;25225;137048002;25232;133886827;25500;141327101;25603
2021;6;6;3;P;2;4;1;134437731;29538;141589227;29674;111399545;22383;117850536;22449
2021;6;6;3;P;2;5;1;;;;;;;;
2021;6;6;3;P;2;6;1;;;;;;;;
2021;6;6;3;P;2;7;1;;;;;;;;
2021;6;6;3;P;2;8;1;;;;;;;;
2021;6;6;3;P;2;9;1;;;;;;;;
2021;6;7;3;O;1;1;1;162059565;7560;169982901;7560;165298660;7686;173297783;7686
2021;6;7;3;O;1;2;1;474296377;42424;520168809;42424;476195517;42620;536703577;42620
2021;6;7;3;O;1;3;1;;;;;;;;
2021;6;7;3;O;1;4;1;114732911;19272;126537989;19272;116787584;19562;133277728;19562
2021;6;7;3;O;1;5;1;781544;214;1696227;333;689598;189;952708;196
2021;6;7;3;O;1;6;1;;;;;;;;
2021;6;7;3;O;1;7;1;;;;;;;;
2021;6;7;3;O;1;8;1;;;;;;;;
2021;6;7;3;O;1;9;1;604493;189;764036;189;604493;189;709533;189
2021;6;7;3;O;2;1;1;258619123;11151;270688672;11151;258619123;11151;271934272;11151
2021;6;7;3;O;2;2;1;405509777;34430;442500344;34430;399306466;33856;446497795;33856
2021;6;7;3;O;2;3;1;;;;;;;;
2021;6;7;3;O;2;4;1;36307935;6955;41585192;6980;36750359;7043;43869447;7068
2021;6;7;3;O;2;5;1;10021227;2734;16239685;3493;9415295;2564;13823869;2954
2021;6;7;3;O;2;6;1;;;;;;;;
2021;6;7;3;O;2;7;1;;;;;;;;
2021;6;7;3;O;2;8;1;6662307;1890;7603392;1890;6665543;1890;8074401;1890
2021;6;7;3;O;2;9;1;1231315;378;1348234;378;1231315;378;1381545;378
2021;6;8;3;I;1;1;1;;;;;;;;
2021;6;8;3;I;1;2;1;6471883;1058;7103962;1058;6781806;1161;7475487;1161
2021;6;8;3;I;1;3;1;813069;215;885969;215;641449;167;721394;167
2021;6;8;3;I;1;4;1;2640585;1075;3095397;1075;3489575;1417;4002512;1417
2021;6;8;3;I;1;5;1;4020824;1677;4550084;1677;4269061;1780;4817605;1780
2021;6;8;3;I;1;6;1;;;;;;;;
2021;6;8;3;I;1;7;1;;;;;;;;
2021;6;8;3;I;1;8;1;;;;;;;;
2021;6;8;3;I;1;9;1;844268;387;993670;387;844315;387;993843;387
2021;6;8;3;I;2;1;1;;;;;;;;
2021;6;8;3;I;2;2;1;5549572;581;6221132;581;5549572;581;6209857;581
2021;6;8;3;I;2;3;1;1002890;284;1202041;284;1337998;335;1519807;335
2021;6;8;3;I;2;4;1;855607;194;987615;194;855607;194;1029615;194
2021;6;8;3;I;2;5;1;369402;144;403458;144;322947;123;364280;123
2021;6;8;3;I;2;6;1;;;;;;;;
2021;6;8;3;I;2;7;1;415569;194;439094;194;415569;194;439094;194
2021;6;8;3;I;2;8;1;408125;194;413308;194;408125;194;415381;194
2021;6;8;3;I;2;9;1;715457;323;838423;323;715324;323;838263;323
2021;6;9;3;F;1;1;1;;;;;;;;
2021;6;9;3;F;1;2;1;67345114;6027;73331266;6052;65565218;6026;72011887;6026
2021;6;9;3;F;1;3;1;58194524;6957;64196145;6957;61809778;7352;67334536;7352
2021;6;9;3;F;1;4;1;31592943;4378;34869356;4378;32475112;4714;37261761;4732
2021;6;9;3;F;1;5;1;;;;;;;;
2021;6;9;3;F;1;6;1;;;;;;;;
2021;6;9;3;F;1;7;1;34143015;5095;38703652;5175;37846407;5766;42638544;5870
2021;6;9;3;F;1;8;1;1551878;388;1768566;388;1471351;388;1655854;388
2021;6;9;3;F;1;9;1;9939750;2089;10817293;2089;8098041;2063;8865806;2063
2021;6;9;3;F;2;1;1;15129240;194;15508404;194;15129240;194;15509491;194
2021;6;9;3;F;2;2;1;1262806862;68175;1342632006;68175;1277948291;68511;1361107060;68511
2021;6;9;3;F;2;3;1;892616674;81886;964593541;82069;905760180;86451;983688159;86894
2021;6;9;3;F;2;4;1;108181199;14099;120017835;14134;109463082;14170;121267615;14195
2021;6;9;3;F;2;5;1;;;;;;;;
2021;6;9;3;F;2;6;1;;;;;;;;
2021;6;9;3;F;2;7;1;2987641536;604800;3310619861;607955;3030033920;656844;3375343889;661209
2021;6;9;3;F;2;8;1;599075915;96087;660678803;97036;625312716;102562;689768756;103613
2021;6;9;3;F;2;9;1;74716735;16057;83262777;16228;76108560;16050;85066058;16322
2021;6;10;1;Q;1;1;1;;;;;;;;
2021;6;10;1;Q;1;2;1;5634914;380;5835665;380;5697732;380;5898890;380
2021;6;10;1;Q;1;3;1;1260328;456;1338984;456;1278480;488;1354550;488
2021;6;10;1;Q;1;4;1;3145436;867;3557348;905;2663167;765;3159628;823
2021;6;10;1;Q;1;5;1;;;;;;;;
2021;6;10;1;Q;1;6;1;;;;;;;;
2021;6;10;1;Q;1;7;1;;;;;;;;
2021;6;10;1;Q;1;8;1;;;;;;;;
2021;6;10;1;Q;1;9;1;;;;;;;;
2021;6;10;1;Q;2;1;1;;;;;;;;
2021;6;10;1;Q;2;2;1;12026118;900;12559408;900;12089604;900;12624365;900
2021;6;10;1;Q;2;3;1;486316;155;510723;155;543725;163;568047;163
2021;6;10;1;Q;2;4;1;583240;100;617943;100;583240;100;617943;100
2021;6;10;1;Q;2;5;1;;;;;;;;
2021;6;10;1;Q;2;6;1;;;;;;;;
2021;6;10;1;Q;2;7;1;;;;;;;;
2021;6;10;1;Q;2;8;1;;;;;;;;
2021;6;10;1;Q;2;9;1;94798;40;101853;40;94798;40;100438;40
2021;6;11;3;C;1;1;7;;;;;;;;
2021;6;11;3;C;1;2;7;11655789;773;13193917;773;10334571;773;11781414;773
2021;6;11;3;C;1;3;7;;;;;;;;
2021;6;11;3;C;1;4;7;4927456;1351;6282358;1351;5758295;1615;7181517;1615
2021;6;11;3;C;1;5;7;;;;;;;;
2021;6;11;3;C;1;6;7;;;;;;;;
2021;6;11;3;C;1;7;7;;;;;;;;
2021;6;11;3;C;1;8;7;;;;;;;;
2021;6;11;3;C;1;9;7;;;;;;;;
2021;6;11;3;C;2;1;7;25962990;966;27980367;966;38701230;1158;40995643;1158
2021;6;11;3;C;2;2;7;22180765;2110;25772758;2110;22590701;2123;26073466;2123
2021;6;11;3;C;2;3;7;6574444;1158;8116738;1203;5566176;1017;6658432;1031
2021;6;11;3;C;2;4;7;27527362;5004;33160527;5008;24328912;4701;29136737;4730
2021;6;11;3;C;2;5;7;;;;;;;;
2021;6;11;3;C;2;6;7;;;;;;;;
2021;6;11;3;C;2;7;7;;;;;;;;
2021;6;11;3;C;2;8;7;30442749;5222;36501428;5222;30212477;5389;35607879;5394
2021;6;11;3;C;2;9;7;36661355;8926;45510264;8949;36254378;8778;44040382;8783
2021;6;12;3;H;1;1;1;5963108;189;6593143;189;8350717;378;9088704;378
2021;6;12;3;H;1;2;1;7549607;1240;7856251;1240;7978557;1260;8445452;1260
2021;6;12;3;H;1;3;1;1324462;372;1468616;372;2506337;565;2699136;565
2021;6;12;3;H;1;4;1;4747335;1279;5590435;1279;5970567;1409;6725546;1409
2021;6;12;3;H;1;5;1;;;;;;;;
2021;6;12;3;H;1;6;1;;;;;;;;
2021;6;12;3;H;1;7;1;;;;;;;;
2021;6;12;3;H;1;8;1;;;;;;;;
2021;6;12;3;H;1;9;1;;;;;;;;
2021;6;12;3;H;2;1;1;46967542;1512;51675514;1512;46967542;1512;51698855;1512
2021;6;12;3;H;2;2;1;31422358;4613;33449980;4613;31679749;4701;33793271;4701
2021;6;12;3;H;2;3;1;12199053;3019;13906563;3082;12129558;3025;13684228;3076
2021;6;12;3;H;2;4;1;33016066;8390;38132685;8417;33134853;8402;38299854;8433
2021;6;12;3;H;2;5;1;;;;;;;;
2021;6;12;3;H;2;6;1;;;;;;;;
2021;6;12;3;H;2;7;1;;;;;;;;
2021;6;12;3;H;2;8;1;588224121;88224;755743986;88514;596671616;89664;767155525;89982
2021;6;12;3;H;2;9;1;45848512;12748;53924677;12781;46470293;12953;54562805;12997
2021;6;13;3;C;1;1;1;;;;;;;;
2021;6;13;3;C;1;2;1;2642037;196;2676283;196;2642037;196;2676383;196
2021;6;13;3;C;1;3;1;950923;196;996992;196;950923;196;996992;196
2021;6;13;3;C;1;4;1;;;;;;;;
2021;6;13;3;C;1;5;1;;;;;;;;
2021;6;13;3;C;1;6;1;;;;;;;;
2021;6;13;3;C;1;7;1;9157415;3101;9673807;3115;9698748;3376;10223183;3387
2021;6;13;3;C;1;8;1;;;;;;;;
2021;6;13;3;C;1;9;1;;;;;;;;
2021;6;13;3;C;2;1;1;5040148;196;5150318;196;5040148;196;5150665;196
2021;6;13;3;C;2;2;1;5833353;587;6089230;587;5735835;587;5991390;587
2021;6;13;3;C;2;3;1;4555423;737;4817266;746;4806079;782;5079142;793
2021;6;13;3;C;2;4;1;4570575;587;4807798;598;4577385;587;4795739;590
2021;6;13;3;C;2;5;1;846576;196;885886;196;846576;196;888704;196
2021;6;13;3;C;2;6;1;;;;;;;;
2021;6;13;3;C;2;7;1;132558700;42674;168877432;42845;132430072;43473;168617792;43565
2021;6;13;3;C;2;8;1;8622897;1564;9117378;1587;8165793;1564;8703783;1598
2021;6;13;3;C;2;9;1;5876067;1993;6155815;1993;5294610;1825;5562613;1825
2021;6;14;3;C;1;1;7;7387500;387;7857575;387;7387500;387;7857575;387
2021;6;14;3;C;1;2;7;5133050;581;6075810;621;5133050;581;5877406;601
2021;6;14;3;C;1;3;7;7874249;1744;9678697;1803;6742994;1447;8462949;1501
2021;6;14;3;C;1;4;7;;;;;;;;
2021;6;14;3;C;1;5;7;;;;;;;;
2021;6;14;3;C;1;6;7;14291255;581;15014293;581;13539328;581;14262366;581
2021;6;14;3;C;1;7;7;2892596;1161;4100892;1253;2892596;1161;4635037;1394
2021;6;14;3;C;1;8;7;;;;;;;;
2021;6;14;3;C;1;9;7;;;;;;;;
2021;6;14;3;C;2;1;7;27106236;774;28422242;774;27106236;774;28422242;774
2021;6;14;3;C;2;2;7;34679090;2673;39310016;2805;34372228;2565;38998736;2722
2021;6;14;3;C;2;3;7;26625184;3973;35441880;4364;31335139;4424;40835405;4854
2021;6;14;3;C;2;4;7;;;;;;;;
2021;6;14;3;C;2;5;7;;;;;;;;
2021;6;14;3;C;2;6;7;21897728;711;22949831;711;21799823;774;22882653;774
2021;6;14;3;C;2;7;7;105136535;28787;148756503;32461;103910250;28887;148684444;32859
2021;6;14;3;C;2;8;7;;;;;;;;
2021;6;14;3;C;2;9;7;;;;;;;;
2021;6;15;3;P;1;1;1;417108622;26499;438068799;26499;429353926;28316;450477953;28316
2021;6;15;3;P;1;2;1;875093147;73654;922059349;73654;875093147;73654;922059349;73654
2021;6;15;3;P;1;3;1;278181677;35150;300282370;35168;265470707;35341;288449192;35361
2021;6;15;3;P;1;4;1;239461792;57571;276561883;57615;220206743;52475;255224099;52508
2021;6;15;3;P;1;5;1;519519;116;547157;116;519519;116;547157;116
2021;6;15;3;P;1;6;1;;;;;;;;
2021;6;15;3;P;1;7;1;5543754;2348;7003354;2348;4686391;2064;6135180;2064
2021;6;15;3;P;1;8;1;;;;;;;;
2021;6;15;3;P;1;9;1;366840;174;493299;174;366840;174;493299;174
2021;6;15;3;P;2;1;1;449118061;23973;471428331;23973;432409391;25478;454091914;25478
2021;6;15;3;P;2;2;1;827685093;61809;870126630;61809;961660277;65020;1008261259;65020
2021;6;15;3;P;2;3;1;190186861;23876;204586146;23876;195397515;22915;209922568;22925
2021;6;15;3;P;2;4;1;137613749;30771;157944523;30826;120363149;28339;139338638;28390
2021;6;15;3;P;2;5;1;15784719;3483;19741714;3784;17820644;3173;21581344;3435
2021;6;15;3;P;2;6;1;;;;;;;;
2021;6;15;3;P;2;7;1;6876079;2328;8349267;2328;7381005;2625;8927182;2625
2021;6;15;3;P;2;8;1;;;;;;;;
2021;6;15;3;P;2;9;1;5830767;2270;7293349;2270;4558587;1793;5815373;1810
2021;6;17;1;K;1;1;3;9370224;194;9628893;194;9370224;194;9629177;194
2021;6;17;1;K;1;2;3;;;;;;;;
2021;6;17;1;K;1;3;3;;;;;;;;
2021;6;17;1;K;1;4;3;916059;107;1098760;110;1061242;138;1272795;142
2021;6;17;1;K;1;5;3;;;;;;;;
2021;6;17;1;K;1;6;3;;;;;;;;
2021;6;17;1;K;1;7;3;;;;;;;;
2021;6;17;1;K;1;8;3;;;;;;;;
2021;6;17;1;K;1;9;3;;;;;;;;
2021;6;17;1;K;2;1;3;18173485;388;18632734;388;18173485;388;18633112;388
2021;6;17;1;K;2;2;3;46277566;776;47254153;776;46277566;776;47255099;776
2021;6;17;1;K;2;3;3;;;;;;;;
2021;6;17;1;K;2;4;3;6620500;388;7122462;388;6620500;388;7122462;388
2021;6;17;1;K;2;5;3;;;;;;;;
2021;6;17;1;K;2;6;3;;;;;;;;
2021;6;17;1;K;2;7;3;;;;;;;;
2021;6;17;1;K;2;8;3;;;;;;;;
2021;6;17;1;K;2;9;3;;;;;;;;
2021;6;18;3;Q;1;1;1;5480341;378;5834586;390;5483572;378;5894964;390
2021;6;18;3;Q;1;2;1;1313514981;112105;1390594270;113359;1303192966;111770;1391300738;113160
2021;6;18;3;Q;1;3;1;513455813;133008;579084465;136031;511308756;132629;591936803;136187
2021;6;18;3;Q;1;4;1;107716320;32353;127207715;33363;107403201;32353;128846691;33451
2021;6;18;3;Q;1;5;1;;;;;;;;
2021;6;18;3;Q;1;6;1;;;;;;;;
2021;6;18;3;Q;1;7;1;;;;;;;;
2021;6;18;3;Q;1;8;1;;;;;;;;
2021;6;18;3;Q;1;9;1;58014961;21190;73037002;23736;58015210;21001;76552882;24008
2021;6;18;3;Q;2;1;1;13548395;568;13858205;568;14735829;568;15126785;568
2021;6;18;3;Q;2;2;1;1220927893;63662;1267078033;64569;1227736047;63447;1275511524;64196
2021;6;18;3;Q;2;3;1;91101320;24785;106979022;26115;91339049;24974;111783579;26806
2021;6;18;3;Q;2;4;1;29965062;8514;35998441;9004;29965062;8514;36979997;9135
2021;6;18;3;Q;2;5;1;;;;;;;;
2021;6;18;3;Q;2;6;1;;;;;;;;
2021;6;18;3;Q;2;7;1;;;;;;;;
2021;6;18;3;Q;2;8;1;494364;189;614917;222;494364;189;678893;244
2021;6;18;3;Q;2;9;1;59241096;19866;73671038;21856;59911825;20055;77037999;22437
2021;6;19;2;G;1;1;2;;;;;;;;
2021;6;19;2;G;1;2;2;555728;193;689594;193;543606;186;676751;186
2021;6;19;2;G;1;3;2;2644162;387;2989212;387;2644162;387;2989212;387
2021;6;19;2;G;1;4;2;6727027;2374;8492446;2395;6750406;2298;8434799;2326
2021;6;19;2;G;1;5;2;;;;;;;;
2021;6;19;2;G;1;6;2;;;;;;;;
2021;6;19;2;G;1;7;2;46498354;17480;59718215;18064;27898695;10587;35206511;11048
2021;6;19;2;G;1;8;2;;;;;;;;
2021;6;19;2;G;1;9;2;;;;;;;;
2021;6;19;2;G;2;1;2;17029455;581;17717195;581;17029455;581;17718449;581
2021;6;19;2;G;2;2;2;15336623;1664;17023844;1664;14813002;1548;16366961;1548
2021;6;19;2;G;2;3;2;1047905;499;1385995;527;1058860;502;1394445;529
2021;6;19;2;G;2;4;2;4423635;1161;5306612;1179;4355682;1113;5210807;1131
2021;6;19;2;G;2;5;2;;;;;;;;
2021;6;19;2;G;2;6;2;;;;;;;;
2021;6;19;2;G;2;7;2;18927389;7022;24778047;7243;12014192;4400;15301252;4574
2021;6;19;2;G;2;8;2;100513;40;127577;41;112920;44;149487;47
2021;6;19;2;G;2;9;2;;;;;;;;
2021;6;20;3;O;1;1;1;7831664;945;8280232;945;7947694;945;8554181;945
2021;6;20;3;O;1;2;1;1681849968;142868;1811692193;147964;1705114252;139442;1850562570;144731
2021;6;20;3;O;1;3;1;467476760;118486;542656358;124937;485310291;120199;571708484;127158
2021;6;20;3;O;1;4;1;195129806;56139;224712612;58111;200387936;55723;233723010;57566
2021;6;20;3;O;1;5;1;;;;;;;;
2021;6;20;3;O;1;6;1;;;;;;;;
2021;6;20;3;O;1;7;1;;;;;;;;
2021;6;20;3;O;1;8;1;1077553;378;1319436;435;456816;189;687057;252
2021;6;20;3;O;1;9;1;97585891;32477;123462503;36799;92945878;30990;123071869;36091
2021;6;20;3;O;2;1;1;31834151;1210;32619665;1210;36440103;1290;37458124;1290
2021;6;20;3;O;2;2;1;1515970953;88258;1595289881;91214;1512575889;85688;1594056413;88479
2021;6;20;3;O;2;3;1;93382817;20374;111498388;22445;95961552;20992;115480922;22988
2021;6;20;3;O;2;4;1;42912390;11359;50883516;12156;44437730;11818;53423113;12502
2021;6;20;3;O;2;5;1;;;;;;;;
2021;6;20;3;O;2;6;1;;;;;;;;
2021;6;20;3;O;2;7;1;;;;;;;;
2021;6;20;3;O;2;8;1;32625647;9192;45360579;11562;33976239;9582;46094821;11677
2021;6;20;3;O;2;9;1;78048452;22743;105285069;26343;78940802;22939;105830846;26442
2021;6;21;3;O;1;1;1;;;;;;;;
2021;6;21;3;O;1;2;1;355048241;31407;372319649;31407;358604293;31546;387225085;31546
2021;6;21;3;O;1;3;1;;;;;;;;
2021;6;21;3;O;1;4;1;77369261;13055;80667064;13055;77204207;13055;83240129;13055
2021;6;21;3;O;1;5;1;;;;;;;;
2021;6;21;3;O;1;6;1;;;;;;;;
2021;6;21;3;O;1;7;1;;;;;;;;
2021;6;21;3;O;1;8;1;;;;;;;;
2021;6;21;3;O;1;9;1;;;;;;;;
2021;6;21;3;O;2;1;1;22304290;757;22985827;757;24111908;757;25351960;757
2021;6;21;3;O;2;2;1;761642698;59976;822737875;60008;764260164;59913;833128961;59913
2021;6;21;3;O;2;3;1;;;;;;;;
2021;6;21;3;O;2;4;1;63135923;11730;74149381;11730;62114786;11541;75559762;11541
2021;6;21;3;O;2;5;1;;;;;;;;
2021;6;21;3;O;2;6;1;;;;;;;;
2021;6;21;3;O;2;7;1;;;;;;;;
2021;6;21;3;O;2;8;1;580437;151;616357;156;603877;149;659526;156
2021;6;21;3;O;2;9;1;;;;;;;;
2021;6;22;1;K;1;1;3;4614487;194;4778159;194;4614487;194;4778477;194
2021;6;22;1;K;1;2;3;2550742;77;2679177;77;2560766;76;2722038;76
2021;6;22;1;K;1;3;3;;;;;;;;
2021;6;22;1;K;1;4;3;3552103;581;3890015;581;3552103;582;3879401;582
2021;6;22;1;K;1;5;3;;;;;;;;
2021;6;22;1;K;1;6;3;;;;;;;;
2021;6;22;1;K;1;7;3;;;;;;;;
2021;6;22;1;K;1;8;3;;;;;;;;
2021;6;22;1;K;1;9;3;;;;;;;;
2021;6;22;1;K;2;1;3;14773419;387;15100763;387;14773419;387;15101399;387
2021;6;22;1;K;2;2;3;91937814;2903;94523348;2903;90754396;2806;93082302;2806
2021;6;22;1;K;2;3;3;;;;;;;;
2021;6;22;1;K;2;4;3;1426324;194;1571161;194;1426324;194;1571161;194
2021;6;22;1;K;2;5;3;;;;;;;;
2021;6;22;1;K;2;6;3;;;;;;;;
2021;6;22;1;K;2;7;3;;;;;;;;
2021;6;22;1;K;2;8;3;;;;;;;;
2021;6;22;1;K;2;9;3;;;;;;;;
2021;6;23;3;P;1;1;1;;;;;;;;
2021;6;23;3;P;1;2;1;82080950;10904;90801826;10904;87482972;12979;97072980;12979
2021;6;23;3;P;1;3;1;102156990;13885;111352469;13885;84213279;14728;92871873;14728
2021;6;23;3;P;1;4;1;94471387;22718;106096264;22718;82778410;22112;93679338;22112
2021;6;23;3;P;1;5;1;;;;;;;;
2021;6;23;3;P;1;6;1;;;;;;;;
2021;6;23;3;P;1;7;1;;;;;;;;
2021;6;23;3;P;1;8;1;;;;;;;;
2021;6;23;3;P;1;9;1;5565200;2920;6536277;2920;5669007;3019;6653310;3019
2021;6;23;3;P;2;1;1;;;;;;;;
2021;6;23;3;P;2;2;1;55709075;7803;61346017;7803;59621858;9455;66167252;9455
2021;6;23;3;P;2;3;1;43643482;5027;47145044;5027;39409054;5645;43104755;5645
2021;6;23;3;P;2;4;1;39450338;8609;43981433;8609;37935914;8826;42425891;8826
2021;6;23;3;P;2;5;1;1279070;506;2109715;765;1267577;506;2000792;722
